comp_1,comp_2
7.1142254,3.2047575
7.924181,3.2087
8.921714,3.0551367
7.8816934,3.1375859
9.401396,3.4552407
9.739171,2.5123408
8.852163,2.742581
9.303236,2.6373339
9.05783,2.6403139
7.1598434,3.2316196
4.7277803,4.1609907
5.042257,3.8440328
7.7881603,4.5639534
7.4370246,4.4484487
7.6760287,3.5411043
7.5392303,3.586616
8.174295,4.622915
8.928723,3.431067
8.79475,3.693121
9.417662,2.284071
8.669475,4.8764005
8.784556,3.6949568
7.583232,3.8619437
9.374426,2.5287747
7.248703,3.030697
8.503925,3.9073498
9.659398,2.3214018
4.9098277,3.7348094
6.7555985,3.4740686
8.048962,3.3088202
9.414807,3.4513593
8.790711,3.0964894
7.6877036,3.0876846
8.570027,4.12131
